"gene","int","cnt"
"0610012G03RIK","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"4933434E20RIK","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"5730455P16RIK","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"AIMP2","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"AKAP8","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ARIH2","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ARL3","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ARSK","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ATG13","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ATP5G1","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"ATP5O","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"B4GALT3","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"BRMS1L","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"CALM2","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"CD9","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"CDK1","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
"CLPX","B6D2F1 clean (N=1)|C57BL/6J clean (N=3)|C57BL/6J x mix (N=3)|CAST/EiJxC57BL/6J (N=1)|ICR clean (N=1)",5
